ReferenceGenome,SRA_Data
GCF_000008625.1_ASM862v1_genomic.gbff.gz,SRR3925721
GCF_000008685.2_ASM868v2_genomic.gbff.gz,SRR3924024
GCF_000008725.1_ASM872v1_genomic.gbff.gz,SRR3924296
GCF_000008745.1_ASM874v1_genomic.gbff.gz,SRR3925271
GCF_000008765.1_ASM876v1_genomic.gbff.gz,SRR3927318
GCF_000008785.1_ASM878v1_genomic.gbff.gz,SRR3926579
GCF_000008805.1_ASM880v1_genomic.gbff.gz,SRR3926574
GCF_000008865.2_ASM886v2_genomic.gbff.gz,SRR3923795
GCF_000008885.1_ASM888v1_genomic.gbff.gz,SRR3926865
GCF_000008925.1_ASM892v1_genomic.gbff.gz,SRR402908
GCF_000008945.1_ASM894v1_genomic.gbff.gz,SRR402904
GCF_000008985.1_ASM898v1_genomic.gbff.gz,SRR028734
GCF_000009005.1_ASM900v1_genomic.gbff.gz,SRR012173
GCF_000009025.1_ASM902v1_genomic.gbff.gz,SRR396647
GCF_000009045.1_ASM904v1_genomic.gbff.gz,SRR518502
GCF_000009065.1_ASM906v1_genomic.gbff.gz,SRR4239957
GCF_000009085.1_ASM908v1_genomic.gbff.gz,SRR3925452
GCF_000009105.1_ASM910v1_genomic.gbff.gz,SRR3923771
GCF_000009125.1_ASM912v1_genomic.gbff.gz,SRR3926324
GCF_000009145.1_ASM914v1_genomic.gbff.gz,SRR3926516
GCF_000009165.1_ASM916v1_genomic.gbff.gz,SRR3926520
GCF_000009205.2_ASM920v2_genomic.gbff.gz,SRR3922592
GCF_000009225.2_ASM922v1_genomic.gbff.gz,SRR3925198
GCF_000009245.1_ASM924v1_genomic.gbff.gz,SRR3925100
GCF_000009265.1_ASM926v1_genomic.gbff.gz,SRR402811
GCF_000009285.1_ASM928v2_genomic.gbff.gz,SRR3926531
GCF_000009305.1_ASM930v1_genomic.gbff.gz,SRR3927265
GCF_000009325.1_ASM932v1_genomic.gbff.gz,SRR3927026
GCF_000009345.1_ASM934v1_genomic.gbff.gz,SRR058725
GCF_000009365.1_ASM936v1_genomic.gbff.gz,SRR3926343
GCF_000009385.1_ASM938v1_genomic.gbff.gz,SRR3925597
GCF_000009405.1_ASM940v1_genomic.gbff.gz,SRR3927012
GCF_000009425.1_ASM942v1_genomic.gbff.gz,SRR059786
GCF_000009445.1_ASM944v1_genomic.gbff.gz,SRR3926782
GCF_000009465.1_ASM946v1_genomic.gbff.gz,SRR064733
GCF_000009485.1_ASM948v1_genomic.gbff.gz,SRR3924301
GCF_000009505.1_ASM950v1_genomic.gbff.gz,SRR3923870
GCF_000009525.1_ASM952v1_genomic.gbff.gz,SRR3923844
GCF_000009545.1_ASM954v1_genomic.gbff.gz,SRR3923872
GCF_000009565.1_ASM956v1_genomic.gbff.gz,SRR3924415
GCF_000009585.1_ASM958v1_genomic.gbff.gz,SRR3923880
GCF_000009605.1_ASM960v1_genomic.gbff.gz,SRR3924510
GCF_000009625.1_ASM962v1_genomic.gbff.gz,SRR3554470
GCF_000009645.1_ASM964v1_genomic.gbff.gz,SRR3926318
GCF_000009665.1_ASM966v1_genomic.gbff.gz,SRR3926630
GCF_000009685.1_ASM968v1_genomic.gbff.gz,SRR3923829
GCF_000009705.1_ASM970v1_genomic.gbff.gz,SRR090670
GCF_000009725.1_ASM972v1_genomic.gbff.gz,SRR4240332
GCF_000009745.1_ASM974v1_genomic.gbff.gz,SRR3924107
GCF_000009765.2_ASM976v2_genomic.gbff.gz,SRR3927272
GCF_000009785.1_ASM978v1_genomic.gbff.gz,SRR2532855
GCF_000009805.1_ASM980v1_genomic.gbff.gz,SRR3926152
GCF_000009825.1_ASM982v1_genomic.gbff.gz,SRR3926800
GCF_000009845.1_ASM984v1_genomic.gbff.gz,SRR059784
GCF_000009865.1_ASM986v1_genomic.gbff.gz,SRR3926628
GCF_000009885.1_ASM988v1_genomic.gbff.gz,SRR3926716
GCF_000009905.1_ASM990v1_genomic.gbff.gz,SRR3923878
GCF_000009925.1_ASM992v1_genomic.gbff.gz,SRR3926771
GCF_000009945.1_ASM994v1_genomic.gbff.gz,SRR3924013
GCF_000009985.1_ASM998v1_genomic.gbff.gz,SRR4156087
GCF_000010005.1_ASM1000v1_genomic.gbff.gz,SRR4156088
GCF_000010025.1_ASM1002v1_genomic.gbff.gz,SRR4156086
GCF_000010045.1_ASM1004v1_genomic.gbff.gz,SRR4156089
GCF_000010065.1_ASM1006v1_genomic.gbff.gz,SRR3927040
GCF_000010085.1_ASM1008v1_genomic.gbff.gz,DRR241429
