ReferenceGenome,SRA_Data
GCF_000494775.2_ASM49477v2_genomic.gbff.gz,SRR6873515
GCF_000494835.1_ASM49483v1_genomic.gbff.gz,SRR3290647
GCF_000494855.1_ASM49485v1_genomic.gbff.gz,DRR074680
GCF_000494875.1_ASM49487v1_genomic.gbff.gz,DRR481113
GCF_000494895.1_ASM49489v1_genomic.gbff.gz,SRR8199929
GCF_000494915.1_ASM49491v1_genomic.gbff.gz,SRR6197366
GCF_000495455.2_ASM49545v2_genomic.gbff.gz,SRR4125217
GCF_000495505.1_ASM49550v1_genomic.gbff.gz,SRR4125418
GCF_000495635.2_GB94_v2_genomic.gbff.gz,SRR4125421
GCF_000495935.2_ASM49593v2_genomic.gbff.gz,SRR4242796
GCF_000496265.1_ASM49626v1_genomic.gbff.gz,SRR10095320
GCF_000496285.1_ASM49628v1_genomic.gbff.gz,SRR8316394
GCF_000496455.2_ASM49645v2_genomic.gbff.gz,SRR5260860
GCF_000496595.1_ASM49659v1_genomic.gbff.gz,SRR5264632
GCF_000496605.2_ASM49660v2_genomic.gbff.gz,SRR8278185
GCF_000496635.1_ASM49663v1_genomic.gbff.gz,SRR2889878
GCF_000496645.1_ASM49664v1_genomic.gbff.gz,SRR8183306
GCF_000496815.1_ASM49681v1_genomic.gbff.gz,SRR8185371
GCF_000497265.2_ASM49726v2_genomic.gbff.gz,SRR7985571
GCF_000497485.1_ASM49748v1_genomic.gbff.gz,SRR7985382
GCF_000497505.1_ASM49750v1_genomic.gbff.gz,SRR7962744
GCF_000497525.1_ASM49752v2_genomic.gbff.gz,ERR1008637
GCF_000498315.1_ASM49831v1_genomic.gbff.gz,ERR1035983
GCF_000498335.1_ASM49833v1_genomic.gbff.gz,SRR8084165
GCF_000498375.2_ASM49837v2_genomic.gbff.gz,SRR7241795
GCF_000498395.2_ASM49839v3_genomic.gbff.gz,SRR1956415
GCF_000498655.1_ASM49865v1_genomic.gbff.gz,SRR8115247
GCF_000498675.1_ASM49867v1_genomic.gbff.gz,SRR16301583
GCF_000498975.2_ASM49897v2_genomic.gbff.gz,SRR16301610
GCF_000499365.1_ASM49936v1_genomic.gbff.gz,SRR16301620
GCF_000499485.1_MYMC4100_genomic.gbff.gz,SRR5871788
GCF_000499645.1_IRBG74_genomic.gbff.gz,SRR8146325
GCF_000499665.2_RMONA_1_genomic.gbff.gz,SRR8464296
GCF_000499805.2_ASM49980v2_genomic.gbff.gz,SRR8181920
GCF_000500935.1_ASM50093v1_genomic.gbff.gz,SRR8182677
GCF_000503835.1_ASM50383v1_genomic.gbff.gz,SRR8113456
GCF_000503845.1_ASM50384v1_genomic.gbff.gz,SRR8095821
GCF_000503875.1_ASM50387v1_genomic.gbff.gz,SRR8130747
GCF_000503895.1_ASM50389v1_genomic.gbff.gz,SRR7957427
GCF_000503915.1_ASM50391v1_genomic.gbff.gz,SRR8526280
GCF_000504045.1_ASM50404v1_genomic.gbff.gz,SRR8526282
GCF_000504085.1_ASM50408v1_genomic.gbff.gz,SRR8526281
GCF_000504105.1_ASM50410v1_genomic.gbff.gz,SRR8072961
GCF_000504125.1_ASM50412v1_genomic.gbff.gz,SRR8072960
GCF_000504545.1_ASM50454v1_genomic.gbff.gz,SRR8072949
GCF_000504585.2_ASM50458v2_genomic.gbff.gz,SRR8072946
GCF_000505365.2_ASM50536v2_genomic.gbff.gz,SRR8072920
GCF_000505685.1_ASM50568v2_genomic.gbff.gz,SRR8072911
GCF_000505705.1_ASM50570v1_genomic.gbff.gz,SRR8072073
GCF_000505725.1_ASM50572v1_genomic.gbff.gz,SRR8283298
GCF_000506785.4_ASM50678v4_genomic.gbff.gz,SRR8283292
GCF_000507205.3_ASM50720v2_genomic.gbff.gz,SRR8072924
GCF_000507225.1_ASM50722v1_genomic.gbff.gz,SRR8072918
GCF_000507245.1_ASM50724v1_genomic.gbff.gz,SRR8283090
GCF_000508125.2_ASM50812v2_genomic.gbff.gz,SRR8072914
GCF_000508205.1_ASM50820v1_genomic.gbff.gz,SRR8072906
GCF_000508225.1_ASM50822v1_genomic.gbff.gz,SRR8180786
GCF_000508245.1_ASM50824v1_genomic.gbff.gz,SRR8179066
GCF_000508265.1_ASM50826v1_genomic.gbff.gz,SRR8180469
GCF_000508285.1_ASM50828v1_genomic.gbff.gz,SRR8180387
GCF_000508765.1_ASM50876v1_genomic.gbff.gz,SRR8180306
GCF_000510265.1_ASM51026v1_genomic.gbff.gz,SRR8180474
GCF_000510285.1_ASM51028v1_genomic.gbff.gz,SRR8179784
GCF_000510305.1_ASM51030v1_genomic.gbff.gz,SRR8179072
GCF_000510325.1_ASM51032v1_genomic.gbff.gz,SRR8175757
GCF_000511285.2_ASM51128v2_genomic.gbff.gz,SRR8175755
GCF_000511305.1_ASM51130v1_genomic.gbff.gz,SRR8180814
GCF_000511325.1_ASM51132v1_genomic.gbff.gz,SRR8180811
GCF_000511355.1_ASM51135v1_genomic.gbff.gz,SRR8180809
GCF_000511385.1_ASM51138v1_genomic.gbff.gz,SRR8180805
GCF_000511405.1_ASM51140v1_genomic.gbff.gz,SRR8180477
GCF_000511895.1_ASM51189v1_genomic.gbff.gz,SRR8180482
GCF_000511915.1_ASM51191v1_genomic.gbff.gz,SRR8180460
GCF_000512125.1_ASM51212v1_genomic.gbff.gz,SRR8180262
GCF_000512145.1_ASM51214v2_genomic.gbff.gz,SRR8180083
GCF_000512165.1_ASM51216v1_genomic.gbff.gz,SRR8180826
GCF_000512185.1_ASM51218v1_genomic.gbff.gz,SRR8180817
GCF_000512205.2_ASM51220v2_genomic.gbff.gz,SRR8180830
GCF_000512355.1_ASM51235v1_genomic.gbff.gz,SRR8180815
GCF_000512375.1_ASM51237v1_genomic.gbff.gz,SRR8180806
GCF_000512395.1_ASM51239v1_genomic.gbff.gz,SRR8180784
GCF_000512735.1_ASM51273v1_genomic.gbff.gz,SRR8180486
GCF_000512745.2_ASM51274v2_genomic.gbff.gz,SRR8180479
GCF_000512775.2_ASM51277v2_genomic.gbff.gz,SRR8180391
GCF_000512835.2_ASM51283v2_genomic.gbff.gz,SRR8179983
GCF_000512895.1_ASM51289v1_genomic.gbff.gz,SRR8179979
GCF_000512915.1_ASM51291v1_genomic.gbff.gz,SRR8179889
GCF_000512955.1_ASM51295v1_genomic.gbff.gz,SRR8179775
GCF_000513215.1_DB11_genomic.gbff.gz,SRR8179089
GCF_000513295.1_MGMSRv2_genomic.gbff.gz,SRR8178570
GCF_000513475.1_Bbla_genomic.gbff.gz,SRR8179779
GCF_000513595.1_ASM51359v1_genomic.gbff.gz,SRR8178583
GCF_000513615.1_ASM51361v1_genomic.gbff.gz,SRR8179778
GCF_000513635.1_ASM51363v1_genomic.gbff.gz,SRR8179783
GCF_000513655.1_ASM51365v1_genomic.gbff.gz,SRR8179109
GCF_000513675.1_ASM51367v1_genomic.gbff.gz,SRR8178086
GCF_000513695.1_ASM51369v1_genomic.gbff.gz,SRR8178083
GCF_000517305.1_ASM51730v1_genomic.gbff.gz,SRR8176979
GCF_000517365.1_ASM51736v1_genomic.gbff.gz,SRR8176978
GCF_000517405.1_ASM51740v1_genomic.gbff.gz,SRR8179756
GCF_000517425.1_ASM51742v1_genomic.gbff.gz,SRR8179283
GCF_000517565.1_ASM51756v1_genomic.gbff.gz,SRR8179091
GCF_000517605.1_ASM51760v1_genomic.gbff.gz,SRR8178576
GCF_000520015.2_ASM52001v2_genomic.gbff.gz,SRR8178573
GCF_000520035.1_ASM52003v1_genomic.gbff.gz,SRR8175748
GCF_000520055.1_ASM52005v1_genomic.gbff.gz,SRR2724094
GCF_000520875.1_ASM52087v1_genomic.gbff.gz,SRR8061175
GCF_000520895.1_ASM52089v1_genomic.gbff.gz,SRR8195513
GCF_000521505.1_ASM52150v1_genomic.gbff.gz,SRR8195515
GCF_000521525.1_ASM52152v1_genomic.gbff.gz,SRR4235430
GCF_000521545.1_ASM52154v1_genomic.gbff.gz,SRR4235429
GCF_000521565.1_ASM52156v1_genomic.gbff.gz,SRR8178101
GCF_000521585.1_ASM52158v1_genomic.gbff.gz,SRR8180820
GCF_000521605.1_ASM52160v1_genomic.gbff.gz,SRR8180384
GCF_000521645.1_ASM52164v1_genomic.gbff.gz,SRR8180483
GCF_000521655.1_ASM52165v1_genomic.gbff.gz,ERR2866472
GCF_000521685.1_ASM52168v1_genomic.gbff.gz,ERR2866473
GCF_000521695.1_ASM52169v1_genomic.gbff.gz,SRR5605994
GCF_000521725.1_ASM52172v1_genomic.gbff.gz,SRR3180703
GCF_000521745.1_ASM52174v1_genomic.gbff.gz,SRR5590296
GCF_000521765.1_ASM52176v1_genomic.gbff.gz,SRR8355575
GCF_000522545.2_ASM52254v2_genomic.gbff.gz,SRR9126609
GCF_000522985.1_ASM52298v1_genomic.gbff.gz,SRR7777247
GCF_000523045.1_ASM52304v1_genomic.gbff.gz,SRR6114308
GCF_000523235.1_ASM52323v1_genomic.gbff.gz,SRR5598940
GCF_000524555.1_ASM52455v1_genomic.gbff.gz,SRR2015809
GCF_000524575.1_ASM52457v1_genomic.gbff.gz,SRR2124467
GCF_000524595.1_ASM52459v1_genomic.gbff.gz,SRR1774066
GCF_000525635.1_ASM52563v1_genomic.gbff.gz,SRR2033907
GCF_000525655.1_ASM52565v1_genomic.gbff.gz,SRR1997811
GCF_000525675.1_ASM52567v1_genomic.gbff.gz,SRR4293098
GCF_000525715.1_ASM52571v1_genomic.gbff.gz,SRR5366628
GCF_000530755.1_W_O_volvulus_Cameroon_v3_genomic.gbff.gz,SRR10189682
GCF_000534935.2_ASM53493v2_genomic.gbff.gz,SRR8100800
GCF_000550745.1_ASM55074v1_genomic.gbff.gz,DRR140917
GCF_000550765.1_ASM55076v1_genomic.gbff.gz,DRR140494
GCF_000550785.1_ASM55078v1_genomic.gbff.gz,SRR5739113
GCF_000550805.1_ASM55080v1_genomic.gbff.gz,SRR5739115
GCF_000565155.1_ASM56515v1_genomic.gbff.gz,SRR11858647
GCF_000565175.1_ASM56517v1_genomic.gbff.gz,SRR10718121
GCF_000565195.1_ASM56519v1_genomic.gbff.gz,SRR8080904
GCF_000565215.1_ASM56521v1_genomic.gbff.gz,SRR8080825
GCF_000567905.1_ASM56790v1_genomic.gbff.gz,SRR8080820
GCF_000567925.1_ASM56792v1_genomic.gbff.gz,SRR8080892
GCF_000567945.1_ASM56794v1_genomic.gbff.gz,SRR8080859
GCF_000568455.1_ASM56845v1_genomic.gbff.gz,SRR8080890
GCF_000568475.1_ASM56847v1_genomic.gbff.gz,SRR12459120
GCF_000568495.1_ASM56849v1_genomic.gbff.gz,SRR7417750
GCF_000568815.1_ASM56881v1_genomic.gbff.gz,SRR7417608
GCF_000568855.2_ASM56885v2_genomic.gbff.gz,SRR7417609
GCF_000568935.1_ASM56893v1_genomic.gbff.gz,SRR7417997
GCF_000568955.1_ASM56895v1_genomic.gbff.gz,SRR7417610
GCF_000568975.1_ASM56897v1_genomic.gbff.gz,SRR7417596
GCF_000569015.1_ASM56901v1_genomic.gbff.gz,SRR7417595
GCF_000569035.1_ASM56903v1_genomic.gbff.gz,SRR7417851
GCF_000569055.1_ASM56905v1_genomic.gbff.gz,SRR8367562
GCF_000569075.1_ASM56907v1_genomic.gbff.gz,SRR8072958
GCF_000572125.1_ASM57212v1_genomic.gbff.gz,SRR8283296
GCF_000572155.1_ASM57215v1_genomic.gbff.gz,SRR8072954
GCF_000572175.1_ASM57217v1_genomic.gbff.gz,SRR8180463
GCF_000572195.1_ASM57219v1_genomic.gbff.gz,SRR8179930
GCF_000576085.2_ASM57608v2_genomic.gbff.gz,SRR8180823
GCF_000576125.1_ASM57612v1_genomic.gbff.gz,SRR8177401
GCF_000576145.2_ASM57614v2_genomic.gbff.gz,SRR8529665
GCF_000576165.1_ASM57616v1_genomic.gbff.gz,SRR6428559
GCF_000576185.2_ASM57618v2_genomic.gbff.gz,SRR9006197
GCF_000576555.1_ASM57655v1_genomic.gbff.gz,SRR9006229
GCF_000577745.1_6179_18022011_genomic.gbff.gz,SRR9006058
40_genomic.gbff.gz,SRR10258109
GCF_000582515.1_ASM58251v1_genomic.gbff.gz,SRR8416223
GCF_000582535.1_ASM58253v1_genomic.gbff.gz,SRR8417352
GCF_000582555.1_ASM58255v1_genomic.gbff.gz,SRR8365131
GCF_000582665.1_ASM58266v1_genomic.gbff.gz,SRR8365074
GCF_000582845.1_SV_1_genomic.gbff.gz,SRR8365116
GCF_000583065.1_ASM58306v1_genomic.gbff.gz,SRR8467565
GCF_000583105.1_ASM58310v1_genomic.gbff.gz,SRR8416225
GCF_000583755.1_ASM58375v1_genomic.gbff.gz,SRR9006205
GCF_000583775.1_ASM58377v1_genomic.gbff.gz,SRR10258083
GCF_000583795.1_ASM58379v1_genomic.gbff.gz,SRR9006186
GCF_000583835.1_ASM58383v1_genomic.gbff.gz,SRR8400823
GCF_000583855.1_ASM58385v1_genomic.gbff.gz,SRR10258067
GCF_000583875.1_ASM58387v1_genomic.gbff.gz,SRR10258113
GCF_000585995.1_ASM58599v1_genomic.gbff.gz,SRR10258120
GCF_000590455.1_ASM59045v1_genomic.gbff.gz,SRR10258105
GCF_000590475.1_ASM59047v1_genomic.gbff.gz,SRR9006103
GCF_000590495.2_ASM59049v2_genomic.gbff.gz,SRR5829796
GCF_000590535.2_ASM59053v2_genomic.gbff.gz,SRR9006055
GCF_000590555.1_ASM59055v1_genomic.gbff.gz,SRR9006183
GCF_000590575.1_ASM59057v1_genomic.gbff.gz,SRR5829756
GCF_000590615.1_ASM59061v1_genomic.gbff.gz,SRR9006156
GCF_000590635.1_ASM59063v1_genomic.gbff.gz,SRR9006071
GCF_000590675.1_ASM59067v1_genomic.gbff.gz,SRR9006101
GCF_000590755.1_ASM59075v1_genomic.gbff.gz,SRR10258069
GCF_000590775.1_ASM59077v1_genomic.gbff.gz,SRR10258087
GCF_000590795.1_ASM59079v1_genomic.gbff.gz,SRR10258091
GCF_000590815.1_ASM59081v1_genomic.gbff.gz,SRR10258070
GCF_000590865.3_ASM59086v3_genomic.gbff.gz,SRR10258066
GCF_000590925.1_ASM59092v1_genomic.gbff.gz,SRR10258080
GCF_000597785.2_ASM59778v2_genomic.gbff.gz,SRR9006236
GCF_000597845.1_ASM59784v1_genomic.gbff.gz,SRR5829795
GCF_000597865.1_ASM59786v1_genomic.gbff.gz,SRR9006134
GCF_000597885.1_ASM59788v1_genomic.gbff.gz,SRR9006113
GCF_000597905.1_ASM59790v1_genomic.gbff.gz,SRR9006155
GCF_000597945.1_ASM59794v2_genomic.gbff.gz,SRR9006151
GCF_000597965.1_ASM59796v1_genomic.gbff.gz,SRR9006184
GCF_000597985.1_ASM59798v1_genomic.gbff.gz,SRR9006188
GCF_000598005.1_ASM59800v1_genomic.gbff.gz,SRR9006153
GCF_000599545.1_ASM59954v1_genomic.gbff.gz,SRR9006201
GCF_000599625.1_ASM59962v1_genomic.gbff.gz,SRR9006206
GCF_000599645.1_ASM59964v1_genomic.gbff.gz,SRR9006150
GCF_000599665.1_ASM59966v1_genomic.gbff.gz,SRR9006207
GCF_000599685.1_ASM59968v1_genomic.gbff.gz,SRR9006179
GCF_000599705.1_ASM59970v1_genomic.gbff.gz,SRR9006221
GCF_000599965.1_ASM59996v1_genomic.gbff.gz,SRR9006228
GCF_000599985.1_ASM59998v1_genomic.gbff.gz,SRR9006200
GCF_000600005.1_ASM60000v1_genomic.gbff.gz,SRR9006223
GCF_000600015.1_ASM60001v1_genomic.gbff.gz,SRR9006094
GCF_000600045.1_ASM60004v1_genomic.gbff.gz,SRR9006203
GCF_000600055.1_ASM60005v1_genomic.gbff.gz,SRR9006130
GCF_000600085.1_ASM60008v1_genomic.gbff.gz,SRR9006225
GCF_000600105.1_ASM60010v1_genomic.gbff.gz,SRR9006129
GCF_000600125.1_ASM60012v1_genomic.gbff.gz,SRR5829805
GCF_000600145.1_ASM60014v1_genomic.gbff.gz,SRR9006180
GCF_000600165.1_ASM60016v1_genomic.gbff.gz,SRR9006093
GCF_000600185.1_ASM60018v1_genomic.gbff.gz,SRR9006136
GCF_000600205.1_ASM60020v1_genomic.gbff.gz,SRR9006185
GCF_000600225.1_ASM60022v1_genomic.gbff.gz,SRR9006204
GCF_000604045.1_ASM60404v1_genomic.gbff.gz,SRR9006187
GCF_000604065.3_ASM60406v3_genomic.gbff.gz,SRR9006182
GCF_000604105.1_ASM60410v1_genomic.gbff.gz,SRR9006106
GCF_000604125.1_ASM60412v1_genomic.gbff.gz,SRR9006152
GCF_000612055.1_ASM61205v1_genomic.gbff.gz,SRR9006224
GCF_000612075.2_ASM61207v2_genomic.gbff.gz,SRR9006202
GCF_000612325.1_ASM61232v1_genomic.gbff.gz,SRR9006104
GCF_000612485.1_ASM61248v1_genomic.gbff.gz,SRR9006059
GCF_000612505.1_ASM61250v1_genomic.gbff.gz,SRR9006154
GCF_000612685.1_scf7180000000004_genomic.gbff.gz,SRR9006061
GCF_000612765.1_PRJEB5998_assembly_1_genomic.gbff.gz,SRR9006116
GCF_000612965.1_PRJEB4971_assembly_1_genomic.gbff.gz,SRR9006060
GCF_000613085.1_R479A_18022011_genomic.gbff.gz,SRR9006135
GCF_000618005.3_ASM61800v3_genomic.gbff.gz,SRR10258073
GCF_000618905.3_ASM61890v3_genomic.gbff.gz,SRR9006112
GCF_000619905.2_ASM61990v2_genomic.gbff.gz,SRR9006149
GCF_000623055.1_ASM62305v2_genomic.gbff.gz,SRR9006158
GCF_000623095.1_ASM62309v2_genomic.gbff.gz,SRR9006227
GCF_000623115.2_ASM62311v2_genomic.gbff.gz,SRR9006067
GCF_000623135.1_ASM62313v2_genomic.gbff.gz,SRR5829739
GCF_000623195.2_ASM62319v2_genomic.gbff.gz,SRR10258072
GCF_000623275.1_ASM62327v1_genomic.gbff.gz,SRR9006219
GCF_000623295.1_ASM62329v1_genomic.gbff.gz,SRR9006108
GCF_000623315.1_ASM62331v1_genomic.gbff.gz,SRR9006092
GCF_000623335.1_ASM62333v1_genomic.gbff.gz,SRR3205742
GCF_000623355.1_ASM62335v1_genomic.gbff.gz,SRR7460819
GCF_000623375.1_ASM62337v1_genomic.gbff.gz,SRR3180502
GCF_000623395.2_ASM62339v2_genomic.gbff.gz,SRR3224568
GCF_000623455.2_ASM62345v2_genomic.gbff.gz,SRR3205757
GCF_000623475.1_ASM62347v2_genomic.gbff.gz,SRR3224814
GCF_000623615.2_ASM62361v2_genomic.gbff.gz,SRR3180707
GCF_000623655.2_ASM62365v2_genomic.gbff.gz,SRR3180501
GCF_000623675.2_ASM62367v2_genomic.gbff.gz,SRR8566032
GCF_000623715.2_ASM62371v2_genomic.gbff.gz,SRR10092042
GCF_000623735.2_ASM62373v2_genomic.gbff.gz,SRR5739066
GCF_000624055.2_ASM62405v2_genomic.gbff.gz,SRR5739086
GCF_000624175.1_ASM62417v2_genomic.gbff.gz,SRR5739041
GCF_000624395.2_ASM62439v2_genomic.gbff.gz,SRR5739056
GCF_000625855.1_ASM62585v2_genomic.gbff.gz,SRR1046088
GCF_000626095.2_ASM62609v2_genomic.gbff.gz,SRR1046096
GCF_000626175.1_ASM62617v1_genomic.gbff.gz,SRR8099025
GCF_000626195.1_ASM62619v1_genomic.gbff.gz,SRR8194178
GCF_000626215.1_ASM62621v1_genomic.gbff.gz,SRR8194162
GCF_000626235.1_ASM62623v1_genomic.gbff.gz,SRR8194152
GCF_000626255.1_ASM62625v1_genomic.gbff.gz,SRR8194159
GCF_000626275.2_ASM62627v2_genomic.gbff.gz,SRR8194123
GCF_000626295.1_ASM62629v1_genomic.gbff.gz,SRR14723485
GCF_000626315.1_ASM62631v1_genomic.gbff.gz,SRR6785588
GCF_000626335.1_ASM62633v1_genomic.gbff.gz,SRR23298450
GCF_000626355.1_ASM62635v1_genomic.gbff.gz,SRR8217178
GCF_000626375.1_ASM62637v1_genomic.gbff.gz,SRR8101018
GCF_000626595.1_ASM62659v1_genomic.gbff.gz,SRR10294312
GCF_000626615.2_ASM62661v3_genomic.gbff.gz,SRR10251085
GCF_000626635.1_ASM62663v1_genomic.gbff.gz,SRR7893485
GCF_000626675.1_ASM62667v1_genomic.gbff.gz,SRR7623731
GCF_000626695.2_ASM62669v2_genomic.gbff.gz,SRR11213088
GCF_000632395.1_ASM63239v1_genomic.gbff.gz,SRR6929558
GCF_000632415.1_ASM63241v1_genomic.gbff.gz,SRR6929535
GCF_000632435.1_ASM63243v1_genomic.gbff.gz,SRR6929522
GCF_000632475.1_ASM63247v2_genomic.gbff.gz,SRR6929548
GCF_000632805.1_ASM63280v1_genomic.gbff.gz,SRR8523007
GCF_000632815.1_ASM63281v1_genomic.gbff.gz,SRR8776461
GCF_000632845.1_ASM63284v1_genomic.gbff.gz,SRR8316436
GCF_000632865.1_ASM63286v1_genomic.gbff.gz,SRR8506707
GCF_000632885.1_ASM63288v1_genomic.gbff.gz,SRR5598897
GCF_000632905.1_ASM63290v1_genomic.gbff.gz,SRR4293100
GCF_000632925.1_ASM63292v1_genomic.gbff.gz,SRR1973904
GCF_000632945.1_ASM63294v1_genomic.gbff.gz,SRR10254570
GCF_000632965.1_ASM63296v1_genomic.gbff.gz,SRR7866296
GCF_000632985.1_ASM63298v1_genomic.gbff.gz,SRR8095307
GCF_000633175.1_ASM63317v1_genomic.gbff.gz,SRR8586094
GCF_000635895.2_ASM63589v2_genomic.gbff.gz,SRR13570501
GCF_000635915.2_ASM63591v2_genomic.gbff.gz,SRR13570499
GCF_000635955.1_ASM63595v1_genomic.gbff.gz,SRR8556425
GCF_000636115.1_ASM63611v1_genomic.gbff.gz,DRR208088
GCF_000636135.1_ASM63613v1_genomic.gbff.gz,SRR13362014
GCF_000648235.2_ASM64823v2_genomic.gbff.gz,SRR8778550
GCF_000648515.1_ASM64851v1_genomic.gbff.gz,SRR8778557
GCF_000648735.3_ASM64873v3_genomic.gbff.gz,SRR8778553
GCF_000661895.1_ASM66189v1_genomic.gbff.gz,SRR3658757
GCF_000661915.1_ASM66191v1_genomic.gbff.gz,SRR3216247
GCF_000662395.1_ASM66239v1_genomic.gbff.gz,SRR9165535
GCF_000671295.1_ASM67129v1_genomic.gbff.gz,SRR9165325
GCF_000681515.2_ASM68151v2_genomic.gbff.gz,SRR10662282
GCF_000685625.1_ASM68562v1_genomic.gbff.gz,SRR2671205
GCF_000685665.1_ASM68566v1_genomic.gbff.gz,SRR8261878
GCF_000685705.1_ASM68570v1_genomic.gbff.gz,SRR1257282
GCF_000685725.1_ASM68572v1_genomic.gbff.gz,SRR8333592
GCF_000685745.1_ASM68574v1_genomic.gbff.gz,SRR8333590
GCF_000688795.1_ASM68879v1_genomic.gbff.gz,SRR8333591
GCF_000689235.1_GBCO_p1_genomic.gbff.gz,SRR8736625
GCF_000689355.1_PRJEB5999_assembly_1_genomic.gbff.gz,SRR6920549
GCF_000689415.1_PKB13_genomic.gbff.gz,SRR6924239
GCF_000689635.2_ASM68963v2_genomic.gbff.gz,SRR7945271
GCF_000691545.1_ASM69154v1_genomic.gbff.gz,SRR8741477
GCF_000691565.1_ASM69156v1_genomic.gbff.gz,SRR8697624
GCF_000691585.1_ASM69158v1_genomic.gbff.gz,SRR8697623
GCF_000691605.1_ASM69160v1_genomic.gbff.gz,SRR1575912
GCF_000695095.2_ASM69509v2_genomic.gbff.gz,SRR19053364
GCF_000695215.1_ASM69521v1_genomic.gbff.gz,SRR8610346
GCF_000695235.1_ASM69523v1_genomic.gbff.gz,SRR9269164
GCF_000695835.1_ASM69583v1_genomic.gbff.gz,SRR9076598
GCF_000695855.3_ASM69585v3_genomic.gbff.gz,SRR8088316
GCF_000695875.1_ASM69587v1_genomic.gbff.gz,SRR10258112
GCF_000695895.1_ASM69589v1_genomic.gbff.gz,SRR10258114
GCF_000695935.1_ASM69593v1_genomic.gbff.gz,SRR10258110
GCF_000695975.1_ASM69597v1_genomic.gbff.gz,SRR10258117
GCF_000695995.1_ASM69599v1_genomic.gbff.gz,SRR9006075
GCF_000696015.1_ASM69601v1_genomic.gbff.gz,SRR9006072
GCF_000696345.2_ASM69634v2_genomic.gbff.gz,SRR9006073
GCF_000696465.1_ASM69646v1_genomic.gbff.gz,SRR9006189
GCF_000696485.1_ASM69648v1_genomic.gbff.gz,SRR9006198
GCF_000696505.1_ASM69650v1_genomic.gbff.gz,SRR9006195
GCF_000696675.2_ASM69667v2_genomic.gbff.gz,SRR9006194
GCF_000697965.2_ASM69796v2_genomic.gbff.gz,SRR9006193
GCF_000698245.1_ASM69824v1_genomic.gbff.gz,SRR9006191
GCF_000698285.1_ASM69828v1_genomic.gbff.gz,SRR9006218
GCF_000698325.1_ASM69832v1_genomic.gbff.gz,SRR9006210
GCF_000698345.1_ASM69834v1_genomic.gbff.gz,SRR9006212
GCF_000698365.1_ASM69836v1_genomic.gbff.gz,SRR9006213
GCF_000698475.1_ASM69847v1_genomic.gbff.gz,SRR9006085
GCF_000698515.2_ASM69851v2_genomic.gbff.gz,SRR9006196
GCF_000698715.2_ASM69871v2_genomic.gbff.gz,SRR9006192
GCF_000698805.1_ASM69880v1_genomic.gbff.gz,SRR9006217
GCF_000698825.1_ASM69882v1_genomic.gbff.gz,SRR9006211
GCF_000698845.1_ASM69884v1_genomic.gbff.gz,SRR9006214
GCF_000698865.1_ASM69886v1_genomic.gbff.gz,SRR9006216
GCF_000698885.1_ASM69888v1_genomic.gbff.gz,SRR9006118
GCF_000699025.1_ASM69902v1_genomic.gbff.gz,SRR9006117
GCF_000699465.1_ASM69946v1_genomic.gbff.gz,SRR9006126
GCF_000699505.1_ASM69950v1_genomic.gbff.gz,SRR9006124
GCF_000699525.1_ASM69952v1_genomic.gbff.gz,SRR9006123
GCF_000701165.1_ASM70116v2_genomic.gbff.gz,SRR9006122
GCF_000705535.2_ASM70553v2_genomic.gbff.gz,SRR9006121
GCF_000705595.2_ASM70559v2_genomic.gbff.gz,SRR9006120
GCF_000706665.1_ASM70666v1_genomic.gbff.gz,SRR9006095
GCF_000706685.1_ASM70668v1_genomic.gbff.gz,SRR9006096
GCF_000706705.1_ASM70670v1_genomic.gbff.gz,SRR9006097
GCF_000706725.1_ASM70672v1_genomic.gbff.gz,SRR9006098
GCF_000706745.1_ASM70674v1_genomic.gbff.gz,SRR9006100
GCF_000706765.1_ASM70676v1_genomic.gbff.gz,SRR9006070
GCF_000709415.1_ASM70941v1_genomic.gbff.gz,SRR9006215
GCF_000709435.1_ASM70943v1_genomic.gbff.gz,SRR9006119
GCF_000709455.1_ASM70945v1_genomic.gbff.gz,SRR9006099
GCF_000709475.1_ASM70947v1_genomic.gbff.gz,SRR9006083
GCF_000709495.1_ASM70949v1_genomic.gbff.gz,SRR9006084
GCF_000709535.1_ASM70953v1_genomic.gbff.gz,SRR9006237
GCF_000709555.1_ASM70955v1_genomic.gbff.gz,SRR9006232
GCF_000710365.2_ASM71036v3_genomic.gbff.gz,SRR9006079
GCF_000710375.2_ASM71037v3_genomic.gbff.gz,SRR9006074
GCF_000714595.1_ASM71459v1_genomic.gbff.gz,SRR9006148
GCF_000714655.1_ASM71465v1_genomic.gbff.gz,SRR9006169
GCF_000714675.1_ASM71467v1_genomic.gbff.gz,SRR9006170
GCF_000715155.1_ASM71515v2_genomic.gbff.gz,SRR9006171
GCF_000715175.2_ASM71517v2_genomic.gbff.gz,SRR9006172
GCF_000717515.1_ASM71751v1_genomic.gbff.gz,SRR9006173
GCF_000717535.1_ASM71753v1_genomic.gbff.gz,SRR9006174
GCF_000722765.2_ASM72276v2_genomic.gbff.gz,SRR9006175
GCF_000723165.1_JAG1_genomic.gbff.gz,SRR9006177
GCF_000723425.2_E11_genomic.gbff.gz,SRR9006159
GCF_000723465.1_Rb803_genomic.gbff.gz,SRR9006163
