RefSeq_ID,SRA_ID,Run_accession_ID,Assembly_ID
GCF_000009605.1,NA,NA,ASM960v1
GCF_000009625.1,NA,NA,ASM962v1
GCF_000009645.1,NA,NA,ASM964v1
GCF_000009665.1,NA,NA,ASM966v1
GCF_000009685.1,NA,NA,ASM968v1
GCF_000009705.1,NA,NA,ASM970v1
GCF_000009725.1,NA,NA,ASM972v1
GCF_000009745.1,NA,NA,ASM974v1
GCF_000009765.2,NA,NA,ASM976v2
GCF_000009785.1,NA,NA,ASM978v1
GCF_000009805.1,NA,NA,ASM980v1
GCF_000009825.1,NA,NA,ASM982v1
GCF_000009845.1,NA,NA,ASM984v1
GCF_000009865.1,NA,NA,ASM986v1
GCF_000009885.1,NA,NA,ASM988v1
GCF_000009905.1,NA,NA,ASM990v1
GCF_000009925.1,NA,NA,ASM992v1
GCF_000009945.1,NA,NA,ASM994v1
GCF_000009985.1,NA,NA,ASM998v1
GCF_000010005.1,NA,NA,ASM1000v1
GCF_000010025.1,NA,NA,ASM1002v1
GCF_000010045.1,NA,NA,ASM1004v1
GCF_000010065.1,NA,NA,ASM1006v1
GCF_000010085.1,NA,NA,ASM1008v1
GCF_000010105.1,NA,NA,ASM1010v1
GCF_000010125.1,NA,NA,ASM1012v1
GCF_000010145.1,NA,NA,ASM1014v1
GCF_000010165.1,NA,NA,ASM1016v1
GCF_000010185.1,NA,NA,ASM1018v1
GCF_000010205.1,NA,NA,ASM1020v1
GCF_000010225.1,NA,NA,ASM1022v1
GCF_000010245.2,NA,NA,ASM1024v1
GCF_000010265.1,NA,NA,ASM1026v1
GCF_000010285.1,NA,NA,ASM1028v1
GCF_000010305.1,NA,NA,ASM1030v1
GCF_000010325.1,NA,NA,ASM1032v1
GCF_000010345.1,NA,NA,ASM1034v1
GCF_000010365.1,NA,NA,ASM1036v1
GCF_000010385.1,NA,NA,ASM1038v1
GCF_000010405.1,NA,NA,ASM1040v1
GCF_000010425.1,NA,NA,ASM1042v1
GCF_000010445.1,NA,NA,ASM1044v1
GCF_000010465.1,NA,NA,ASM1046v1
GCF_000010485.1,NA,NA,ASM1048v1
GCF_000010505.1,NA,NA,ASM1050v1
GCF_000010525.1,NA,NA,ASM1052v1
GCF_000010545.1,NA,NA,ASM1054v1
GCF_000010565.1,NA,NA,ASM1056v1
GCF_000010585.1,NA,NA,ASM1058v1
GCF_000010605.1,NA,NA,ASM1060v1
GCF_000010625.1,NA,NA,ASM1062v1
GCF_000010645.1,NA,NA,ASM1064v1
GCF_000010665.1,NA,NA,ASM1066v1
GCF_000010685.1,NA,NA,ASM1068v1
GCF_000010705.1,NA,NA,ASM1070v1
GCF_000010725.1,NA,NA,ASM1072v1
GCF_000010745.1,NA,NA,ASM1074v1
GCF_000010765.1,NA,NA,ASM1076v1
GCF_000010785.1,NA,NA,ASM1078v1
GCF_000010805.1,NA,NA,ASM1080v1
GCF_000010825.1,NA,NA,ASM1082v1
GCF_000010845.1,NA,NA,ASM1084v1
GCF_000010865.1,NA,NA,ASM1086v1
GCF_000010885.1,NA,NA,ASM1088v1
GCF_000010905.1,NA,NA,ASM1090v1
GCF_000010925.1,NA,NA,ASM1092v1
GCF_000010945.1,NA,NA,ASM1094v1
GCF_000010965.1,NA,NA,ASM1096v1
GCF_000010985.1,NA,NA,ASM1098v1
GCF_000011025.1,NA,NA,ASM1102v1
GCF_000011045.1,NA,NA,ASM1104v1
GCF_000011065.1,NA,NA,ASM1106v1
GCF_000011145.1,NA,NA,ASM1114v1
GCF_000011165.1,NA,NA,ASM1116v1
GCF_000011225.1,NA,NA,ASM1122v1
GCF_000011245.1,NA,NA,ASM1124v1
GCF_000011265.1,NA,NA,ASM1126v1
GCF_000011285.1,NA,NA,ASM1128v1
GCF_000011305.1,NA,NA,ASM1130v1
GCF_000011325.1,NA,NA,ASM1132v1
GCF_000011345.1,NA,NA,ASM1134v1
GCF_000011365.1,NA,NA,ASM1136v1
GCF_000011385.1,NA,NA,ASM1138v1
GCF_000011405.1,NA,NA,ASM1140v1
GCF_000011445.1,ERS610143,NA,ASM1144v1
GCF_000011465.1,ERS610144,NA,ASM1146v1
GCF_000011485.1,ERS610145,NA,ASM1148v1
GCF_000011505.1,ERS000049,NA,ASM1150v1
GCF_000011525.1,ERS000050,NA,ASM1152v1
GCF_000011545.1,ERS000047,NA,ASM1154v1
GCF_000011565.2,ERS610149,SRR5123091,ASM1156v2
GCF_000011605.1,ERS000048,NA,ASM1160v1
GCF_000011625.1,NA,NA,ASM1162v1
GCF_000011645.1,NA,NA,ASM1164v1
GCF_000011665.1,NA,NA,ASM1166v1
GCF_000011685.1,NA,NA,ASM1168v1
GCF_000011705.1,NA,NA,ASM1170v1
GCF_000011725.1,NA,NA,ASM1172v1
GCF_000011745.1,NA,NA,ASM1174v1
GCF_000011765.3,NA,NA,ASM1176v2
GCF_000011805.1,NA,NA,ASM1180v1
GCF_000011825.1,NA,NA,ASM1182v1
GCF_000011845.1,NA,NA,ASM1184v1
GCF_000011865.1,NA,NA,ASM1186v1
GCF_000011885.1,NA,NA,ASM1188v1
GCF_000011905.1,NA,NA,ASM1190v1
GCF_000011925.1,NA,NA,ASM1192v1
GCF_000011945.1,NA,NA,ASM1194v1
GCF_000011965.2,NA,NA,ASM1196v2
GCF_000011985.1,NA,NA,ASM1198v1
GCF_000012005.1,NA,NA,ASM1200v1
GCF_000012025.1,NA,NA,ASM1202v1
GCF_000012045.1,NA,NA,ASM1204v1
GCF_000012085.2,NA,NA,ASM1208v2
GCF_000012105.1,NA,NA,ASM1210v1
GCF_000012125.1,NA,NA,ASM1212v1
GCF_000012145.1,NA,NA,ASM1214v1
GCF_000012165.2,NA,NA,ASM1216v2
GCF_000012185.1,NA,NA,ASM1218v1
GCF_000012205.1,NA,NA,ASM1220v1
GCF_000012225.1,NA,NA,ASM1222v1
GCF_000012245.1,NA,NA,ASM1224v1
GCF_000012265.1,NA,NA,ASM1226v1
GCF_000012305.1,NA,NA,ASM1230v1
GCF_000012325.1,NA,NA,ASM1232v1
GCF_000012345.1,NA,NA,ASM1234v1
GCF_000012365.1,NA,NA,ASM1236v1
GCF_000012385.1,NA,NA,ASM1238v1
GCF_000012445.1,NA,NA,ASM1244v1
GCF_000012465.1,SRS211725,NA,ASM1246v1
GCF_000012485.1,NA,NA,ASM1248v1
GCF_000012505.1,NA,NA,ASM1250v1
GCF_000012525.1,NA,NA,ASM1252v1
GCF_000012565.1,NA,NA,ASM1256v1
GCF_000012625.1,NA,NA,ASM1262v1
GCF_000012645.1,NA,NA,ASM1264v1
